TIC ID,prediction,F1 Score,AUC,Precision,Recall
422423972,1,0.9581749049429658,0.9577380952380952,0.984375,0.9333333333333333
374530847,0,0.9581749049429658,0.9577380952380952,0.984375,0.9333333333333333
431701493,0,0.9581749049429658,0.9577380952380952,0.984375,0.9333333333333333
353302490,1,0.9581749049429658,0.9577380952380952,0.984375,0.9333333333333333
353498819,1,0.9581749049429658,0.9577380952380952,0.984375,0.9333333333333333
39724477,1,0.9581749049429658,0.9577380952380952,0.984375,0.9333333333333333
294301883,0,0.9581749049429658,0.9577380952380952,0.984375,0.9333333333333333
255735567,0,0.9581749049429658,0.9577380952380952,0.984375,0.9333333333333333
405425498,1,0.9581749049429658,0.9577380952380952,0.984375,0.9333333333333333
467690903,1,0.9581749049429658,0.9577380952380952,0.984375,0.9333333333333333
331854794,1,0.9581749049429658,0.9577380952380952,0.984375,0.9333333333333333
9727392,0,0.9581749049429658,0.9577380952380952,0.984375,0.9333333333333333
1129033,0,0.9581749049429658,0.9577380952380952,0.984375,0.9333333333333333
262689575,1,0.9581749049429658,0.9577380952380952,0.984375,0.9333333333333333
281575427,0,0.9581749049429658,0.9577380952380952,0.984375,0.9333333333333333
148233571,0,0.9581749049429658,0.9577380952380952,0.984375,0.9333333333333333
293267224,1,0.9581749049429658,0.9577380952380952,0.984375,0.9333333333333333
92562123,1,0.9581749049429658,0.9577380952380952,0.984375,0.9333333333333333
197039766,1,0.9581749049429658,0.9577380952380952,0.984375,0.9333333333333333
387346503,1,0.9581749049429658,0.9577380952380952,0.984375,0.9333333333333333
101592219,1,0.9581749049429658,0.9577380952380952,0.984375,0.9333333333333333
149989864,1,0.9581749049429658,0.9577380952380952,0.984375,0.9333333333333333
337648770,1,0.9581749049429658,0.9577380952380952,0.984375,0.9333333333333333
397423462,1,0.9581749049429658,0.9577380952380952,0.984375,0.9333333333333333
313554509,1,0.9581749049429658,0.9577380952380952,0.984375,0.9333333333333333
429295277,0,0.9581749049429658,0.9577380952380952,0.984375,0.9333333333333333
137402055,0,0.9581749049429658,0.9577380952380952,0.984375,0.9333333333333333
167415965,0,0.9581749049429658,0.9577380952380952,0.984375,0.9333333333333333
247409676,1,0.9581749049429658,0.9577380952380952,0.984375,0.9333333333333333
422037524,1,0.9581749049429658,0.9577380952380952,0.984375,0.9333333333333333
188389305,1,0.9581749049429658,0.9577380952380952,0.984375,0.9333333333333333
272146465,0,0.9581749049429658,0.9577380952380952,0.984375,0.9333333333333333
241174783,0,0.9581749049429658,0.9577380952380952,0.984375,0.9333333333333333
220016044,0,0.9581749049429658,0.9577380952380952,0.984375,0.9333333333333333
424733642,1,0.9581749049429658,0.9577380952380952,0.984375,0.9333333333333333
203287192,1,0.9581749049429658,0.9577380952380952,0.984375,0.9333333333333333
201793781,0,0.9581749049429658,0.9577380952380952,0.984375,0.9333333333333333
350293646,0,0.9581749049429658,0.9577380952380952,0.984375,0.9333333333333333
468880077,0,0.9581749049429658,0.9577380952380952,0.984375,0.9333333333333333
192372961,0,0.9581749049429658,0.9577380952380952,0.984375,0.9333333333333333
102192004,0,0.9581749049429658,0.9577380952380952,0.984375,0.9333333333333333
68443254,1,0.9581749049429658,0.9577380952380952,0.984375,0.9333333333333333
386197662,1,0.9581749049429658,0.9577380952380952,0.984375,0.9333333333333333
336125492,1,0.9581749049429658,0.9577380952380952,0.984375,0.9333333333333333
96170689,1,0.9581749049429658,0.9577380952380952,0.984375,0.9333333333333333
