TIC ID,TOI,SG1B priority,SG2 priority,SG4 priority,SG5 priority,ESM,TSM,Predicted Mass (M_Earth),Spectroscopy Observations,View all TFOPWG Disposition,RA (deg),Dec (deg),Transit Epoch (BJD),Period (days),Duration (hours),Depth (mmag),Depth (ppm),Planet Radius (R_Earth),Planet Insolation (Earth flux),Planet Eq Temp (K),Planet SNR,Stellar Distance (pc),Stellar Teff (K),Stellar log(g) (cm/s2),Stellar Radius (R_Sun),Stellar Metallicity,Stellar Mass (M_Sun),Candidate
271581073,1101.01,5,5,5,5,34.7,109.2,64.42,0,1101.01,319.551469,-77.529113,2459058.79277,2.66903,1.548,3.381901,3110.0,9.36823,429.86,1268.0,54.0,262.794,5803.5,4.07,1.56,-0.22,1.04,0
99097200,3818.01,4,3,4,4,25.6,63.0,125.28,0,3818.01,121.591887,42.19247,2459601.148849,3.2371501358064,3.351131547988,11.072894,10146.683706316,13.85486375867,984.90412543386,1428.7894629211,27.33125,814.386,5800.1,4.19,1.3530199527741,0.251884,1.04,1
260367888,3354.01,3,3,4,4,1.5,16.6,28.12,0,3354.01,95.151882,-59.754672,2459983.752735,46.3810093,6.1350190797643,1.204048,1108.3541952311,5.7534555986326,55.344849702957,695.64721800947,13.279991,415.22,6307.9,4.07,1.696249961853,0.10236,1.24,1
68007716,2587.01,5,3,4,4,25.4,75.9,83.7,17,2587.01,115.93171,-1.073333,2459244.752232,5.4566563,3.783,4.526083,4160.0,10.9408,381.078,1230.0,44.0,373.675,5674.8,4.04,1.72,0.116,1.04,0
453009027,6462.01,3,3,4,4,28.8,32.9,317.0,2,6462.01,123.016335,2.78237,2459980.581682,3.8720204,3.999,7.847766,7202.0,14.8477,1287.54,1668.0,55.0,761.889,6976.0,4.1,1.83,0.120066,1.36,1
62740096,5500.01,3,3,4,4,128.9,168.2,317.0,0,5500.01,116.003412,20.208863,2459575.934108,1.7530712,1.019,12.734069,11660.0,19.7783,564.728,1358.0,17.0,513.084,5625.1,4.54,0.89,0.21,1.0,1
234345288,213.01,1,1,4,4,1.3,47.2,5.97,4,213.01,38.887291,-71.624247,2460177.887219,23.5199045,3.222,1.35041,1243.0,2.30502,10.453,500.0,23.0,54.3256,4566.4,4.93,0.67,-0.08,0.72,1
47667,6560.01,5,3,4,4,15.9,92.0,51.27,8,6560.01,220.409244,-26.790781,2460086.740768,17.2051468,1.464,2.146449,1975.0,8.17561,18.2667,575.0,22.0,176.365,6470.6,4.13,1.63,-0.44,1.318,0
202283090,6218.01,4,3,4,4,60.0,168.9,99.63,12,6218.01,5.111293,48.767772,2459878.34576,5.1570194,2.42,18.159033,16586.0,12.0548,50.6137,743.0,80.0,159.96,4476.1,4.38,0.89,-0.169,0.702,1
123357864,6005.01,5,5,5,5,3.0,51.4,12.45,73,6005.01,281.482473,47.207826,2458697.413913,16.145589817182,4.5431710785952,0.99883,919.53362618433,3.5634669513522,19.531979730678,536.17469794516,8.10099,107.796,4816.0,4.59996,0.73299497365952,0.06,0.78,0
267617257,6359.01,3,3,4,4,16.2,56.8,86.28,0,6359.01,63.165074,50.15895,2459934.924254,2.4398136,3.751,4.747431,4363.0,11.128,7439.71,2587.0,18.0,1055.41,8184.6,4.29,1.67,0.341,2.0,1
407905370,3573.01,4,3,4,4,22.4,77.4,108.29,6,3573.01,336.998619,38.28595,2458747.792229,9.8170028,3.341,7.09125,6510.0,12.7271,196.707,1043.0,24.0,412.387,5994.3,4.13,1.49,0.306,1.1,1
67349298,6927.01,3,3,4,4,28.4,79.7,123.46,0,6927.01,120.69024,21.659686,2460285.161253,4.3427321,1.23,8.131049,7461.0,13.7163,53.9765,755.0,20.0,628.904,5737.3,4.35,1.12,-0.21,1.02,1
291198795,4741.01,3,3,4,4,31.3,74.1,127.8,0,4741.01,105.418571,2.18915,2459223.677938,2.4849639,2.977,7.441018,6830.0,14.0194,1421.21,1710.0,14.0,772.403,6252.0,4.11,1.6,-0.295,1.21,1
425997655,174.01,5,1,4,4,2.0,60.0,4.18,14,174.01,55.459031,-62.767267,2460180.378105,17.6671687,2.525,0.927615,854.0,1.87042,7.60884,462.0,26.0,39.0341,4813.0,4.38,0.69,-0.19,0.78,0
70435923,6953.01,4,3,4,4,19.9,52.1,56.71,0,6953.01,114.586421,19.531926,2460285.315548,0.8204734,1.171,3.156476,2903.0,8.70762,1962.4,1854.0,16.0,865.039,5956.8,4.1,1.55,0.087,1.09,0
427348923,484.01,5,5,5,5,33.5,113.3,59.82,1,484.01,83.531883,-0.207762,2459196.648037,4.728681,4.533,10.901047,9990.0,8.96336,222.388,1075.0,86.0,149.953,4425.0,4.57,0.9,0.034,0.692,0
192487723,6313.01,3,3,4,4,9.0,13.0,317.0,0,6313.01,46.504292,47.461389,2459906.770206,4.9570983,6.687,5.289542,4860.0,15.9349,5671.62,2417.0,13.0,2579.15,8120.6,3.9,2.62,0.369,1.98,1
332393279,4042.01,3,3,4,4,30.4,71.0,125.36,0,4042.01,255.364082,28.988524,2459008.333798,2.3238426,2.391,10.670766,9780.0,13.8867,870.497,1513.0,16.0,869.366,5983.9,4.2,1.38,0.301,1.1,1
405425498,2227.01,4,2,4,4,4.3,40.6,8.35,3,2227.01,337.517756,-67.850146,2460177.65724,4.2217717,2.561,0.645119,594.0,2.81922,305.107,1164.0,19.0,165.441,5763.48,3.99846,1.21,-0.0502762,1.03,0
403136413,158.01,5,5,5,5,32.6,73.4,110.14,0,158.01,333.578718,-55.378981,2458326.37811,2.51266,2.411,3.033449,2790.01,13.3617,793.471,1478.0,22.0,601.367,5988.0,4.08,2.3,-0.03,1.15,0
253030300,3795.01,5,5,5,5,13.3,61.5,34.25,10,3795.01,98.732441,49.676574,2458865.943138,2.8300213,1.646,4.122758,3790.0,6.47417,462.811,1292.0,12.0,439.841,6205.0,4.51,1.01,-0.059,1.19,0
53735810,661.01,5,5,5,5,38.3,114.1,112.89,0,661.01,158.22503,-34.989907,2458544.170492,4.0860495356931,4.5420607058844,7.718409,7083.7091188067,13.032343694269,1434.7738788086,1569.6962289332,111.816475,500.258,6580.0,4.0663,1.4774099588394,0.05,1.56,0
31374837,431.02,5,1,4,4,21.0,26.2,2.78,12,431.02,83.26925,-26.72387,2458438.375965,0.49005894130619,1.0123327563119,0.316039,291.03997220368,1.4741529433549,2120.447466258,1730.7192688943,28.3464,32.5686,4891.0,4.62,0.72663199901581,0.02,0.8,0
73448352,1603.01,5,3,4,5,72.7,87.1,317.0,0,1603.01,38.308075,30.360453,2459901.664829,4.7321727,2.794,7.867451,7220.0,15.0238,740.466,1453.0,100.0,282.096,6739.0,4.21,1.56,-0.026,1.438,0
374530847,5797.01,5,5,5,5,135.5,336.7,98.11,0,5797.01,307.725559,6.429331,2459770.231395,2.1521630190873,1.7531965994512,18.601442,16986.633012976,11.999442722245,473.40564304161,1189.6743749553,68.14215,153.242,5147.0,4.51349,0.85466998815536,0.1,0.869,0
72985822,754.01,3,4,4,4,32.3,93.5,107.47,0,754.01,189.297113,-42.413637,2458572.225589,3.8639681207342,2.0997184611314,8.327706,7640.7605464706,12.659975045207,733.32640217322,1327.2235523604,40.17332,498.36,6214.0,4.26729,1.2262300252914,0.188862,1.14,1
10593553,6168.01,3,3,4,4,25.0,26.5,317.0,1,6168.01,340.309424,30.327893,2459848.409536,5.0809743,4.08,6.216229,5709.0,14.7894,884.118,1519.0,22.0,735.685,6071.2,3.9,1.97,0.057,1.13,1
255907107,5760.01,3,3,4,4,15.9,52.1,106.41,0,5760.01,246.972473,38.453189,2459739.173528,7.924204,4.458,8.895952,8160.0,12.6224,226.813,1081.0,29.0,618.078,5739.6,4.17,1.39,0.137539,1.03,1
33878688,1210.01,5,5,5,5,0.1,12.3,5.37,1,1210.01,66.221959,-73.333516,2459187.361317,79.3739596,5.392,1.333016,1227.0,2.17454,3.05331,368.0,100.0,144.133,5168.33,4.60584,0.77,-0.168765,0.88,0
176899385,1373.01,5,5,5,5,92.0,116.0,317.0,0,1373.01,354.774092,42.465987,2459880.674867,3.8529962,3.36,9.969258,9140.0,15.6058,1669.87,1780.0,172.0,275.358,6893.4,4.22,1.57,-0.0340897,1.499,0
143143769,1926.01,5,5,5,5,5.8,37.5,9.44,0,1926.01,89.598895,-30.811799,2459175.372553,1.3372349230815,1.7026097646771,1.332664,1226.6760556245,3.0265786420174,886.98411133329,1391.8701133849,9.910095,280.555,5111.9,4.5,0.86025601625443,-0.188957,0.859,0
443607377,6954.01,4,2,4,4,6.1,44.2,13.5,4,6954.01,168.324059,-2.787764,2460283.831447,4.0207557,2.017,1.690721,1556.0,3.74825,124.569,930.0,14.0,190.042,5019.9,4.41,0.95,0.03,0.834,1
283722336,1469.02,5,5,5,5,14.0,40.7,2.18,12,1469.02,348.337203,57.169626,2459868.871705,6.7650278,1.444,0.238888,220.0,1.27931,32.4433,664.0,24.0,6.53127,4884.29,4.59034,0.75,0.095686,0.8,0
322307342,117.01,5,5,5,5,39.9,44.1,317.0,0,117.01,15.006077,-58.904724,2459063.655791,3.5862961998647,3.3710942972119,6.238423,5729.3246858086,16.474761075541,1787.5955936893,1658.3915202361,32.356964,603.955,5704.8,3.84,2.0044100284576,-0.25,1.02,0
25155310,114.01,5,5,5,5,54.4,163.4,78.37,1,114.01,63.374706,-69.226593,2458327.519958,3.2887898269345,3.4367717302261,7.633138,7005.7247901859,10.513587732178,759.33735331947,1338.8392647365,557.429,216.526,5800.0,4.28004,1.2417500019073,0.20683,1.01,0
255930614,2024.01,5,5,5,5,109.4,386.8,52.81,4,2024.01,247.622983,38.347535,2460476.023499,2.8758831,3.14,3.427645,3152.0,8.33267,1095.91,1602.0,227.0,75.8643,6084.0,4.17,1.46,0.33,1.14,0
188668950,5731.01,3,3,4,4,0.0,18.5,18.5,2,5731.01,260.098822,52.433465,2459130.335118,270.30381603558,6.6824679857965,3.151329,2898.2731964513,4.4969676081826,0.39214791557697,201.82837674191,10.09025,109.835,4448.25,4.51125,0.76740902662277,0.021,0.697,1
270604417,2543.01,5,3,4,4,18.6,64.7,82.16,3,2543.01,136.596917,3.56767,2459233.347042,7.5427508863843,6.4481913890686,3.369166,3098.3066655453,10.809975938775,741.79626076624,1331.0393949002,45.81989,426.798,6349.8,4.11,1.866189956665,-0.446295,1.219,0
393414358,483.01,5,5,5,5,68.3,66.3,317.0,0,483.01,94.336356,-38.323383,2458469.697072,4.3780806521225,5.3900977708936,7.708223,7074.3931387973,15.176734588555,1103.2707505918,1469.9084133692,197.32759,290.684,5570.0,4.01069,1.792240023613,0.28,1.02,0
262746281,603.01,5,4,4,4,12.0,63.9,48.18,20,603.01,141.107854,5.766056,2460271.218286,16.1798603,6.495,2.444571,2249.0,7.89958,131.122,942.0,35.0,205.924,5900.8,4.04,1.63,0.176,1.072,0
468889418,5156.01,3,3,4,4,13.9,104.2,60.09,2,5156.01,56.757474,8.664659,2460221.038488,22.8524131,2.035,1.374326,1265.0,8.99211,52.664,750.0,10.0,160.968,5857.9,4.4,1.08,-0.4555,1.059,1
21132157,5365.01,3,3,4,4,7.6,25.7,42.97,3,5365.01,36.519788,26.091793,2459886.032439,4.0069668,5.848,0.847205,780.0,7.39456,2636.63,1996.0,17.0,651.291,6080.3,3.61,2.76,0.04,1.14,1
428867906,6060.01,3,3,4,4,10.7,39.2,52.58,2,6060.01,57.561241,50.620837,2459930.334093,3.3906311,2.344,0.782012,720.0,8.3102,1156.25,1624.0,9.0,384.79,7373.8,3.56,3.54,0.086,1.678,1
268823307,2182.01,5,5,5,5,24.9,24.8,317.0,14,2182.01,299.407034,44.035039,2459444.706868,3.5484480742597,4.5123025406601,7.65094,7022.0056890722,15.216501566358,1875.0117414812,1678.3044553389,30.353336,899.777,6295.0,4.03,1.7818499803543,0.07,1.23,0
169461816,3563.01,5,3,4,5,22.7,42.2,317.0,9,3563.01,297.45374,41.011019,2459800.506508,17.855232163638,7.5258229708258,9.631459,8831.671174385,14.597675311923,183.21364269537,938.33777872969,42.920555,399.398,6779.2,4.25,1.4911400079727,0.0814669,1.454,0
18310799,5087.01,1,5,5,5,4.0,67.4,13.58,3,5087.01,67.412861,22.882567,2460253.01276,17.3070631,3.646,2.074651,1909.0,3.7275,31.2616,658.0,64.0,59.2474,4230.6,4.48,0.77,-0.002,0.66,0
4426490,6874.01,5,5,5,5,71.4,81.4,317.0,7,6874.01,116.578612,30.776661,2460235.021932,2.6689570250941,2.7508737913427,18.6492,17029.872002619,16.10183368496,1087.3617796284,1464.580560718,35.70773,468.406,5983.3,4.3234,1.196830034256,-0.014,1.1,0
398572544,4518.01,5,5,5,5,67.0,75.9,317.0,0,4518.01,353.616269,-1.579985,2460229.806391,3.408833,3.163,17.547563,16032.0,14.2632,695.65,1430.0,355.0,348.494,6134.0,4.41,1.11,-0.12,1.16,0
122596693,4435.01,5,5,5,5,20.8,61.4,99.81,2,4435.01,290.581743,40.577311,2459420.667731,3.5256535143873,2.5111798919497,26.244978,23882.702938615,12.121008578614,189.76218399409,946.6123519155,26.39653,686.284,5003.05,4.56877,0.78376799821854,0.318,0.83,0
127957099,5426.01,5,3,4,4,8.5,54.9,22.45,2,5426.01,81.649605,31.633052,2459913.277313,5.8095099,2.427,1.901703,1750.0,5.0621,398.441,1244.0,20.0,283.552,6353.1,4.42,1.15,-0.305644,1.262,0
120896927,402.01,5,5,4,4,5.5,76.9,3.63,12,402.01,36.867885,-27.636117,2459139.126535,4.7559736792878,2.5469695669124,0.432894,398.63101130969,1.7254170228752,161.73143342224,909.53278550704,17.72927,44.8155,5175.2,4.37657,0.84184199571609,0.06,0.88,0
169191182,6414.01,3,3,4,4,3.3,32.5,18.63,2,6414.01,127.289101,-2.11667,2459987.730483,17.7607727,4.474,1.51131,1391.0,4.52589,71.0596,808.0,20.0,238.113,6180.8,4.28,1.31,0.104,1.182,1
320004517,1055.01,5,1,4,4,7.8,117.4,12.54,31,1055.01,293.286615,-54.532728,2458661.062711,17.47130782378,4.4284818691516,1.303399,1199.754148315,3.5766827826134,53.370031707653,689.35688068043,43.21312,57.2651,5783.54,4.49925,0.97466897964477,-0.0525569,1.04,0
317060587,1052.01,5,3,4,4,3.4,37.6,8.42,3,1052.01,337.510274,-75.646561,2458332.941229,9.139803965992,3.0912935708995,0.389215,358.41578010221,3.0629854973598,243.01176298976,1006.9932828513,10.624502,129.804,5958.2,4.34,1.58,-0.25,1.09,0
175236511,5136.01,5,5,5,5,1.1,12.1,7.79,0,5136.01,129.813701,23.357437,2459550.096564,7.8092052,3.393,0.521278,480.0,2.70889,230.628,1085.0,15.0,446.821,5906.9,4.3,1.22,-0.063,1.07,0
167415965,214.02,1,2,4,4,0.8,9.5,0.45,10,214.02,99.458741,-70.931327,2460174.709658,9.695961,2.772,0.132468,122.0,0.808552,66.2914,794.0,14.0,38.96,5346.2,4.6,0.8,-0.36,0.92,1
309439436,5316.01,3,3,4,4,27.5,61.1,83.33,0,5316.01,91.802333,35.958044,2459496.567378,0.9997277,1.574,5.322274,4890.0,10.9188,2105.63,1887.0,13.0,793.998,5849.8,4.05,1.61,0.214,1.06,1
307958020,4633.01,1,1,4,4,0.2,19.4,12.26,1,4633.01,256.843102,62.475548,2458864.835181,271.938638971,11.129246638232,0.524721,483.16888825765,3.5295923157994,1.2295467284965,268.5690786088,16.521877,95.2016,5490.04,4.02198,1.5819000005722,0.237922,0.96,1
284660935,5253.01,5,3,4,4,59.7,123.2,111.6,0,5253.01,179.211893,58.405356,2459635.041369,1.1110609,1.155,4.417062,4060.0,12.9236,2976.45,2057.0,17.0,582.471,5500.1,4.4,1.02,-0.08,0.96,0
308073360,3837.01,4,3,4,4,19.7,85.5,85.52,3,3837.01,152.666283,24.273121,2459613.379817,11.8886495,4.803,8.501943,7800.0,11.0233,138.065,954.0,66.0,311.705,5773.9,4.28,1.21,-0.241,1.03,1
261136679,144.01,5,5,1,1,17.1,202.3,4.65,14,144.01,84.29928,-80.464604,2460011.550653,6.267832,2.789,0.348577,321.0,1.99779,203.434,1052.0,53.0,18.2702,5950.0,4.438,1.15,0.0887839,1.1,0
63082902,6936.01,3,3,4,4,3.2,41.4,15.12,0,6936.01,117.990508,18.126386,2460266.812702,10.298566,2.022,4.590411,4219.0,4.00839,9.32109,486.0,15.0,134.941,4201.6,4.61,0.67,-0.278,0.657,1
170466784,6413.01,4,3,4,4,13.6,61.1,90.4,0,6413.01,122.54919,-6.802751,2459974.167838,10.8310228,1.516,8.423159,7728.0,11.3849,12.0417,518.0,17.0,490.336,5524.8,4.44,0.98,-0.413,0.97,1
170634116,413.01,5,5,5,5,138.5,196.5,317.0,3,413.01,66.370902,-30.600436,2459174.669346,3.6623917810844,3.7669691908019,13.386425,12253.658252294,17.280556723788,1645.9886957967,1624.5252337676,356.4687,246.69,6600.0,4.20892,1.4853199720383,0.19,1.54,0
285094173,1817.01,4,3,4,4,6.0,41.2,29.77,2,1817.01,186.581874,46.470824,2459658.623168,13.398256,1.909,1.586333,1460.0,5.93967,87.625,852.0,12.0,276.417,6131.3,4.18,1.45,-0.0524025,1.16,1
269190305,4717.01,3,3,4,4,21.4,33.9,317.0,0,4717.01,105.737414,-0.80334,2459219.329857,4.1583367,3.043,10.484383,9610.0,16.0152,1509.9,1736.0,12.0,1422.73,8131.7,4.35,1.55,0.213,1.98,1
405010127,7066.01,5,5,5,5,6.1,62.2,42.99,0,7066.01,291.063681,0.746014,2460509.503679,13.23412611048,2.3705156742092,20.152022,18389.509247178,7.3853255495559,16.108913779892,510.95930664347,8.3981695,338.386,5025.0,4.88331,0.54892897605896,0.06,0.84,0
252430813,3706.01,3,3,4,4,33.1,41.6,317.0,1,3706.01,76.825224,59.729551,2460286.769995,4.3701795176972,3.7808821882295,16.410926,15001.36321542,15.452326479688,772.64939017176,1344.6689174576,20.9724,740.11,6647.1,4.4,1.2306699752808,-0.286,1.4,1
357501308,2018.01,5,1,4,4,7.1,113.5,5.81,8,2018.01,229.837442,29.207877,2458958.257962,7.4355708955237,2.3450321022643,1.423986,1310.6803156462,2.2761563610991,26.075760688482,576.3403106003,18.09982,27.9956,4218.9,4.67,0.62251198291779,-0.812,0.66,0
239154970,1714.01,5,5,5,5,105.1,158.0,317.0,0,1714.01,113.184238,33.835021,2459603.425538,3.4744763,4.258,14.119119,12920.0,19.6131,1701.38,1789.0,267.0,396.11,6642.3,4.14,1.67,0.021,1.4,0
437893926,2771.01,5,5,5,5,19.3,51.3,123.17,1,2771.01,94.017995,15.270666,2459548.185346,3.8454384,4.736,4.995001,4590.0,13.6848,2030.9,1870.0,27.0,985.074,6733.4,3.98,2.02,-0.037,1.44,0
26018819,5346.01,4,3,4,4,20.2,62.1,102.7,0,5346.01,52.523054,20.807824,2459520.301801,3.9783327,2.643,11.888518,10890.0,12.3611,470.153,1297.0,24.0,839.92,6441.1,4.41,1.18,-0.179,1.3,1
58474992,6921.01,5,5,5,5,32.8,87.3,317.0,10,6921.01,65.839526,24.897315,2460195.279658,25.714253,6.373,36.58091,33131.0,15.8297,45.1202,722.0,68.0,232.791,5677.8,4.58,0.86,-0.687,1.01,0
269558487,855.01,4,3,4,4,12.0,64.1,18.29,5,855.01,15.543042,-2.144574,2459497.639662,1.8301156,1.018,1.205837,1110.0,4.46184,515.147,1327.0,18.0,294.418,6671.0,4.41,1.22,-0.43,1.41,1
301343785,2347.01,5,3,4,4,20.2,52.3,50.53,2,2347.01,52.487605,-0.904217,2459169.738716,1.1736318,1.397,1.597206,1470.0,8.1147,1505.41,1735.0,17.0,587.369,6033.7,3.92,1.93,-0.692786,1.12,0
115739057,6129.01,3,3,4,4,33.4,42.6,317.0,0,6129.01,339.655529,34.80462,2459847.900848,5.0310168,3.334,20.048599,18296.0,17.1637,262.966,1121.0,28.0,762.451,5656.1,4.2,1.32,0.117105,1.0,1
95129101,1704.01,5,5,5,5,13.0,66.3,34.66,1,1704.01,114.932863,28.120146,2459575.195833,3.929983,2.153,2.467423,2270.0,6.51515,398.651,1244.0,29.0,343.469,6621.9,4.33,1.34,-0.011,1.39,0
270456887,6456.01,5,3,4,4,108.5,153.2,317.0,2,6456.01,135.139704,1.390137,2459963.887975,2.2685932038762,2.4612308456022,8.822451,8092.8523533442,19.780614441163,2058.2136558692,1717.8781798622,26.882883,530.397,6763.0,4.23,1.3373399972916,-0.102551,1.33,0
281459670,110.01,5,5,5,5,71.0,79.0,317.0,0,110.01,5.618525,-59.942589,2458328.039934,3.1743504240477,2.7510859593691,16.913636,15457.324757623,14.917225575404,718.90969938992,1320.6518234321,99.91275,342.14,5943.0,4.42524,1.1570600271225,-0.1,1.03,0
365690646,524.01,5,5,5,5,5.4,40.3,26.9,1,524.01,81.54323,6.912307,2458471.143375,12.983175,1.527578,1.283009,1180.996904,5.933251,397.46868736706,1138.7948113218,7.579506,293.27,6962.64,4.14716,1.67983,-0.187102,1.511,0
353960022,6051.01,3,3,4,4,58.4,98.9,317.0,0,6051.01,62.377542,47.556648,2459913.021886,3.9200919234394,4.1169543534739,24.630341,22430.004062634,22.594188632701,1241.1751658231,1513.8331768436,22.25058,915.507,6574.32,4.23875,1.4723800420761,-0.241,1.37,1
